comment,preprocessed_comment
"Rand was a good guy, really... he was. But I felt he had an alter-ego when he left to go home and grade. His expectations and how he picked apart his students papers was simply not fair. Again, great guy but avoid this class with him!!!","['rand', 'good', 'guy', 'really', 'felt', 'alterego', 'left', 'go', 'home', 'grade', 'expectations', 'picked', 'apart', 'students', 'papers', 'simply', 'fair', 'great', 'guy', 'avoid', 'class']"
"He is brilliant in his field, but expects his students to perform at high levels, with unrealistic expectations. Only by a miracle did I get an A, and that was after a heavy curve. He does care about his students though, as he gives lots of time in class for work, while he goes around giving tips and answering questions.","['brilliant', 'field', 'expects', 'students', 'perform', 'high', 'levels', 'unrealistic', 'expectations', 'miracle', 'get', 'heavy', 'curve', 'care', 'students', 'though', 'gives', 'lots', 'time', 'class', 'work', 'goes', 'around', 'giving', 'tips', 'answering', 'questions']"
He has a major in philosophy which is why all the papers you have to write are based on philosophy. As long as your paper agrees with what he thinks you will get a good grade. Otherwise the class is boring and he talks for an hour about nonsense but it is mandatory to attend otherwise your grade will drop.,"['major', 'philosophy', 'papers', 'write', 'based', 'philosophy', 'long', 'paper', 'agrees', 'thinks', 'get', 'good', 'grade', 'otherwise', 'class', 'boring', 'talks', 'hour', 'nonsense', 'mandatory', 'attend', 'otherwise', 'grade', 'drop']"
"I thought his class was extremely hard but despite it all, I became a confident writer. People on here say 'you can only get a c on a paper' WRONG. I got an A and a B. You just have to be in it to win it. If you want to get an A, get a different teacher. If you want learn, Go for Rand. He made Eng. 110 worth something.","['thought', 'class', 'extremely', 'hard', 'despite', 'became', 'confident', 'writer', 'people', 'say', 'get', 'c', 'paper', 'wrong', 'got', 'b', 'win', 'want', 'get', 'get', 'different', 'teacher', 'want', 'learn', 'go', 'rand', 'made', 'eng', 'worth', 'something']"
"I recently just finished taking Comp 110 with Rand and it was the hardest class of my freshman semester. He takes it way too serious for a 100 level class. 80% of the class is papers so you would think you control the grade you get, right? Wrong.  He will tear apart your paper and give you a bad grade despite your efforts. I worked hard for a C.","['recently', 'finished', 'taking', 'comp', 'rand', 'hardest', 'class', 'freshman', 'semester', 'takes', 'way', 'serious', 'level', 'class', 'class', 'papers', 'would', 'think', 'control', 'grade', 'get', 'right', 'wrong', 'tear', 'apart', 'paper', 'give', 'bad', 'grade', 'despite', 'efforts', 'worked', 'hard', 'c']"
"Steven Rand is a nice person and really interesting to hear him speak. I am always inspired after a lecture. However, never expect to get anything higher than a C. You can think your paper is perfect but, he will tear it apart in seconds. Take a different professor if you don't want to put 9 hours of work into a paper you get an 'average' grade on.","['steven', 'rand', 'nice', 'person', 'really', 'interesting', 'hear', 'speak', 'always', 'inspired', 'lecture', 'however', 'never', 'expect', 'get', 'anything', 'higher', 'c', 'think', 'paper', 'perfect', 'tear', 'apart', 'seconds', 'take', 'different', 'professor', 'nt', 'want', 'put', 'hours', 'work', 'paper', 'get', 'average', 'grade']"
Hard class ,"['hard', 'class']"
He graded a 100 level class like we were all English majors in a 300 or above level class. Never got higher than a C on a paper. I went to the writing center for every paper. Very unclear in instructions and hard to approach with questions. Don't take the class from him.,"['graded', 'level', 'class', 'like', 'english', 'majors', 'level', 'class', 'never', 'got', 'higher', 'c', 'paper', 'went', 'writing', 'center', 'every', 'paper', 'unclear', 'instructions', 'hard', 'approach', 'questions', 'nt', 'take', 'class']"
Tough grader on papers make sure you do your work and drafts. Participation grades save you in the long run. Dont miss class and do your work. Go to the tutor center helps alot,"['tough', 'grader', 'papers', 'make', 'sure', 'work', 'drafts', 'participation', 'grades', 'save', 'long', 'run', 'dont', 'miss', 'class', 'work', 'go', 'tutor', 'center', 'helps', 'alot']"
Do not take English 110 with Rand. I don't feel any better at writing due to his confusing grading style. ,"['take', 'english', 'rand', 'nt', 'feel', 'better', 'writing', 'due', 'confusing', 'grading', 'style']"
Bottom line Rand needs to retire before he ruins everyone's GPA's.  He thinks he knows so much about English and thinks it is his job to make essay assignments unneeded riddles.  He answers questions with questions and likes to talk trash about high school English teachers; hating on the high school teachers ironically makes it like high school. FR,"['bottom', 'line', 'rand', 'needs', 'retire', 'ruins', 'everyone', 'gpa', 'thinks', 'knows', 'much', 'english', 'thinks', 'job', 'make', 'essay', 'assignments', 'unneeded', 'riddles', 'answers', 'questions', 'questions', 'likes', 'talk', 'trash', 'high', 'school', 'english', 'teachers', 'hating', 'high', 'school', 'teachers', 'ironically', 'makes', 'like', 'high', 'school', 'fr']"
He will only give your paper a C. It does not matter if it is good or not. Work extremely hard if you plan on passing.,"['give', 'paper', 'c', 'matter', 'good', 'work', 'extremely', 'hard', 'plan', 'passing']"
one of the worst professors at UND. Extremely hard grader and expects to much in a 100 level class. Thinks that everyone's papers should be masterpieces. No matter how long i spent on a paper i couldnt get higher than a C. Only reason i got a B in the class was because i never missed a class. ,"['one', 'worst', 'professors', 'und', 'extremely', 'hard', 'grader', 'expects', 'much', 'level', 'class', 'thinks', 'everyone', 'papers', 'masterpieces', 'matter', 'long', 'spent', 'paper', 'couldnt', 'get', 'higher', 'c', 'reason', 'got', 'b', 'class', 'never', 'missed', 'class']"
"This class is so pointless its ridiculous.  I'm in the class currently (only because its required.) The class has no relevance to anything in life.  Rand is a ****, the class is so boring. He could make the class so much better by writing papers that actually have meaning to  them instead of what some philosopher said.  Textbook reading is hard!!  ","['class', 'pointless', 'ridiculous', 'class', 'currently', 'required', 'class', 'relevance', 'anything', 'life', 'rand', 'class', 'boring', 'could', 'make', 'class', 'much', 'better', 'writing', 'papers', 'actually', 'meaning', 'instead', 'philosopher', 'said', 'textbook', 'reading', 'hard']"
Horrible professor. He does not believe in A's.  Thinks that other teachers grade too easily.  Answers your questions with other questions that do not help you.  Teaches you irrelevant material that you will never use again. Worst professor I have ever had.,"['horrible', 'professor', 'believe', 'thinks', 'teachers', 'grade', 'easily', 'answers', 'questions', 'questions', 'help', 'teaches', 'irrelevant', 'material', 'never', 'use', 'worst', 'professor', 'ever']"
